stname,countyname,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20
AL,Autauga County,80,70,65,58,67,32,15,44,48,47,46,52,31,18,40,35,43,42,51,27,7,35,33
AL,Baldwin County,79,72,70,71,94,55,35,55,53,55,54,61,45,26,43,41,50,49,56,36,10,37,39
AL,Barbour County,103,92,78,75,80,67,39,65,72,71,75,86,57,52,69,59,63,59,66,55,23,51,47
AL,Bibb County,68,71,79,75,76,27,14,36,51,56,47,54,35,17,42,38,44,44,58,30,12,36,29
AL,Blount County,89,80,70,69,69,42,21,44,40,60,55,60,37,18,46,40,53,57,62,34,8,46,41
AL,Bullock County,82,52,65,77,85,45,40,46,45,105,61,61,44,16,44,17,78,54,27,43,16,9,10
AL,Butler County,84,81,66,82,84,68,30,53,57,51,44,61,46,23,43,42,52,43,59,41,26,36,30
AL,Calhoun County,94,85,79,85,80,58,28,49,61,71,70,74,53,29,62,52,60,64,73,48,11,48,48
AL,Chambers County,88,73,66,60,71,39,20,46,46,43,41,54,35,15,36,37,37,44,43,29,3,31,27
AL,Cherokee County,93,79,64,68,63,57,38,48,40,58,54,58,45,45,50,43,44,53,58,45,27,45,50
AL,Chilton County,93,93,77,82,89,55,28,56,63,68,71,81,53,23,64,53,68,70,75,49,16,51,46
AL,Choctaw County,84,96,83,89,85,57,24,67,79,78,65,64,57,21,60,40,59,65,59,25,16,64,39
AL,Clarke County,97,62,79,74,99,54,25,54,56,65,55,78,52,33,69,40,50,57,67,34,13,47,38
AL,Clay County,79,73,66,70,68,33,29,49,50,74,72,52,43,29,57,56,50,64,77,26,12,41,41
AL,Cleburne County,83,74,75,84,64,49,31,75,58,46,63,81,45,33,65,63,81,49,70,30,9,45,41
AL,Coffee County,88,83,79,84,76,43,34,63,63,73,70,79,44,27,55,51,63,80,73,40,9,48,50
AL,Colbert County,83,78,78,77,78,54,33,54,48,62,66,73,51,35,57,44,62,65,71,51,19,46,45
AL,Conecuh County,83,118,97,113,75,66,60,89,81,100,143,138,90,67,29,73,81,91,70,70,22,60,57
AL,Coosa County,116,90,77,93,93,64,66,80,61,81,80,90,54,45,69,56,72,61,84,69,39,68,66
AL,Covington County,99,84,88,90,86,50,48,75,69,74,69,86,47,30,58,53,62,68,66,45,23,63,51
AL,Crenshaw County,100,83,67,76,92,44,26,66,68,64,59,57,38,17,69,56,65,51,81,40,7,55,65
AL,Cullman County,89,82,76,81,79,53,36,59,56,72,73,75,55,35,65,53,63,65,80,53,23,58,56
AL,Dale County,96,90,77,87,91,58,33,67,67,71,72,71,43,20,62,59,66,69,71,38,7,54,48
AL,Dallas County,93,88,81,78,85,68,42,64,61,82,68,63,44,34,56,46,57,61,70,41,21,51,41
AL,DeKalb County,87,79,81,82,80,55,34,55,54,74,70,80,52,40,57,51,60,69,70,45,12,50,51
AL,Elmore County,92,80,71,74,77,42,21,57,58,60,66,65,40,21,58,43,58,58,63,35,13,46,44
AL,Escambia County,83,70,65,61,76,54,28,59,64,63,58,66,44,33,46,49,52,57,55,40,18,42,48
AL,Etowah County,88,79,81,78,80,54,33,57,60,72,69,74,59,39,61,53,64,66,75,48,13,51,48
AL,Fayette County,80,62,71,65,66,55,24,45,43,64,70,65,40,25,40,38,48,54,78,35,16,40,37
AL,Franklin County,75,61,71,79,75,37,24,54,31,65,63,69,36,24,51,36,41,56,56,42,17,36,31
AL,Geneva County,90,87,91,80,88,45,29,59,74,75,66,79,52,17,58,48,63,68,64,31,13,57,54
AL,Greene County,NA,91,93,110,98,48,46,15,94,91,92,85,36,25,46,37,92,15,47,31,11,36,39
AL,Hale County,97,88,90,82,90,58,15,63,67,78,81,81,60,28,44,50,61,67,55,54,13,54,43
AL,Henry County,93,85,86,94,98,78,37,83,86,81,86,85,63,33,69,57,75,82,86,69,7,80,72
AL,Houston County,96,78,81,83,88,57,37,68,71,65,73,74,54,31,60,56,66,64,72,46,9,54,57
AL,Jackson County,90,74,77,77,74,50,26,46,42,61,69,70,56,38,55,46,56,62,64,54,23,57,50
AL,Jefferson County,83,69,60,64,68,39,17,32,41,44,46,50,33,19,37,32,45,47,52,36,6,32,30
AL,Lamar County,88,82,71,85,82,54,26,46,51,72,77,83,46,29,60,45,65,54,72,43,20,52,39
AL,Lauderdale County,96,78,77,80,73,55,34,57,47,71,70,75,54,37,55,53,57,65,72,48,18,56,49
AL,Lawrence County,84,64,62,68,58,39,24,48,42,59,63,57,38,29,55,39,47,66,53,39,13,46,40
AL,Lee County,104,95,90,95,100,72,35,68,71,77,77,90,67,34,68,57,73,80,83,55,11,56,53
AL,Limestone County,76,62,56,57,61,39,26,37,33,51,49,58,39,24,38,30,43,44,58,38,10,30,32
AL,Lowndes County,104,97,98,113,104,77,68,101,94,100,106,86,67,53,87,89,93,94,87,45,31,64,96
AL,Macon County,97,84,32,45,128,22,8,20,23,47,40,42,17,2,21,9,22,21,29,8,2,21,21
AL,Madison County,80,65,59,58,57,30,15,34,24,44,45,53,32,10,29,23,32,37,47,28,1,20,22
AL,Marengo County,97,88,96,63,77,70,26,57,60,78,53,63,29,25,45,34,47,65,63,26,13,29,38
AL,Marion County,92,78,72,85,71,52,38,57,52,68,66,80,55,34,55,44,57,64,65,43,28,51,46
AL,Marshall County,89,80,76,79,76,60,34,51,52,68,67,71,57,38,54,49,60,62,73,48,19,46,52
AL,Mobile County,95,84,75,75,81,48,28,62,62,58,61,67,42,22,48,44,55,54,60,33,7,43,43
AL,Monroe County,89,95,85,84,87,65,57,64,66,64,68,74,61,46,71,58,68,64,72,43,27,57,55
AL,Montgomery County,89,81,73,69,75,46,16,53,55,58,58,66,40,14,40,37,49,51,61,28,4,34,31
AL,Morgan County,80,70,65,66,70,41,29,47,43,53,58,66,38,25,45,39,48,49,62,36,11,42,42
AL,Perry County,89,74,83,67,69,64,17,50,24,53,33,33,15,30,25,28,41,25,49,26,14,43,21
AL,Pickens County,80,79,73,80,76,45,40,69,66,64,66,63,41,34,45,50,48,44,54,34,13,57,46
AL,Pike County,116,90,101,105,114,89,57,83,76,89,81,101,76,49,61,69,83,83,93,67,29,67,67
AL,Randolph County,94,71,72,77,75,47,29,45,52,55,51,58,37,35,46,41,48,59,56,29,23,39,42
AL,Russell County,86,78,77,78,82,50,18,53,56,62,59,62,50,23,49,44,53,58,55,27,7,34,40
AL,Saint Clair County,87,72,63,64,68,38,18,39,44,47,51,50,31,21,43,37,46,48,53,31,8,37,36
AL,Shelby County,78,63,55,56,63,39,15,29,37,42,42,47,32,16,35,28,37,41,47,31,5,26,27
AL,Sumter County,157,132,148,106,160,79,49,90,91,103,113,99,74,46,48,50,79,61,84,71,18,63,51
AL,Talladega County,78,76,65,65,72,39,26,40,43,51,55,63,45,22,42,35,50,46,58,39,13,36,34
AL,Tallapoosa County,82,73,74,82,77,49,56,48,65,70,67,70,56,66,68,42,51,59,67,47,40,56,45
AL,Tuscaloosa County,111,104,98,101,106,70,38,71,74,84,80,89,69,34,51,51,66,68,75,51,18,57,54
AL,Walker County,89,77,66,78,77,48,32,48,54,60,62,63,40,30,46,46,54,60,68,40,20,51,45
AL,Washington County,82,89,NA,51,NA,NA,44,26,29,27,51,37,30,20,31,29,51,36,51,23,12,39,32
AL,Wilcox County,146,55,45,91,103,84,33,45,31,36,75,97,37,117,32,40,61,67,76,44,31,30,46
AL,Winston County,88,84,68,77,74,46,41,51,44,56,59,58,45,42,52,43,45,57,62,41,24,48,39
AK,Anchorage Municipality,82,70,62,45,63,1,1,19,10,9,10,12,0,0,2,8,7,5,23,3,0,12,5
AK,Fairbanks North Star Borough,62,75,21,30,12,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1
AK,Juneau City and Borough,30,42,19,33,25,3,2,5,9,3,3,3,2,2,2,2,2,2,2,1,2,2,2
AK,Kenai Peninsula Borough,73,60,48,30,42,0,0,30,18,28,20,23,0,0,1,15,2,8,15,1,0,10,4
AK,Ketchikan Gateway Borough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,8,11,15,12,9,17,5,10,NA,NA
AK,Matanuska-Susitna Borough,86,66,38,35,51,0,0,12,15,14,15,27,0,0,0,7,3,4,12,2,0,4,11
AK,North Slope Borough,90,78,97,20,44,9,20,10,28,23,93,84,18,17,11,20,19,20,112,99,13,21,20
AZ,Apache County,96,78,68,81,118,46,12,19,31,40,13,15,28,21,31,32,33,18,57,18,12,21,27
AZ,Cochise County,72,61,45,49,54,15,5,32,30,28,20,21,3,1,18,21,9,13,20,2,1,6,5
AZ,Coconino County,165,149,80,80,102,57,45,47,57,44,42,40,38,20,32,42,35,40,49,30,12,29,36
AZ,Gila County,78,69,53,46,63,31,48,51,43,54,42,35,34,30,44,32,25,28,42,34,34,29,38
AZ,Graham County,81,94,72,76,92,80,20,69,85,68,80,74,50,14,68,88,64,67,64,52,7,71,66
AZ,Greenlee County,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,88,NA,NA,4,43,31,5,46,NA,NA,NA,NA,31
AZ,La Paz County,100,124,89,116,178,132,74,43,57,75,75,53,55,51,29,43,43,56,87,21,47,21,47
AZ,Maricopa County,73,62,45,38,51,22,8,27,25,26,23,27,12,3,18,18,10,13,20,8,0,10,11
AZ,Mohave County,94,86,74,71,85,56,34,60,64,65,56,65,33,14,45,56,52,54,65,30,9,48,46
AZ,Navajo County,95,73,64,29,74,55,30,44,51,45,39,39,24,14,32,21,39,22,25,15,20,25,28
AZ,Pima County,74,61,43,34,50,10,3,24,22,24,15,19,2,0,10,11,3,7,11,1,0,5,5
AZ,Pinal County,65,50,35,29,42,12,3,22,20,20,17,20,8,0,12,13,6,8,15,4,0,8,10
AZ,Santa Cruz County,85,75,63,39,74,20,1,18,39,41,36,30,3,0,19,26,7,12,27,3,0,12,17
AZ,Yavapai County,82,74,50,34,54,13,4,28,31,34,25,22,11,3,30,27,16,17,19,5,0,18,21
AZ,Yuma County,86,75,54,46,62,21,6,35,42,26,30,32,12,1,21,21,12,17,24,5,1,19,13
AR ,Arkansas County,86,67,49,75,94,74,35,69,60,82,105,88,56,45,49,52,61,60,82,40,42,60,64
AR ,Ashley County,72,67,69,71,67,48,13,48,45,57,72,80,47,30,44,46,57,62,60,30,30,64,46
AR ,Baxter County,80,75,64,60,69,51,20,60,54,72,83,61,33,63,57,62,67,59,57,19,36,61,60
AR ,Benton County,68,62,56,52,65,45,23,45,45,54,54,51,39,33,36,41,43,48,40,24,12,37,44
AR ,Boone County,83,86,78,67,82,43,6,63,57,71,70,68,45,33,57,54,56,65,60,31,6,51,58
AR ,Bradley County,83,67,68,62,68,41,12,41,28,56,44,62,32,40,27,30,62,42,84,22,19,38,27
AR ,Carroll County,74,59,71,45,58,41,15,40,28,47,38,41,30,31,41,24,34,31,19,12,1,28,27
AR ,Chicot County,71,50,52,54,76,28,8,33,32,43,41,45,24,11,17,29,52,51,39,19,7,20,21
AR ,Clark County,117,117,130,124,129,97,34,114,86,103,130,97,64,70,81,99,108,88,109,57,55,83,62
AR ,Clay County,54,59,43,45,50,49,7,35,34,31,36,51,14,13,23,22,36,47,48,37,19,26,23
AR ,Cleburne County,56,53,48,44,57,34,10,51,32,48,52,52,18,46,37,33,40,34,48,25,34,36,42
AR ,Cleveland County,NA,89,88,90,NA,NA,NA,84,70,76,67,70,23,16,57,NA,66,81,67,NA,25,55,80
AR ,Columbia County,112,118,65,78,115,61,29,65,57,77,85,97,45,34,56,61,81,75,66,38,34,75,67
AR ,Conway County,63,64,48,53,64,54,7,58,46,57,61,44,19,34,50,43,46,42,40,22,24,35,46
AR ,Craighead County,88,84,76,79,92,58,22,68,61,73,78,79,55,57,74,74,72,80,76,57,43,71,69
AR ,Crawford County,88,80,74,69,81,48,18,54,57,58,65,58,35,31,47,51,51,55,49,22,18,51,53
AR ,Crittenden County,66,64,67,67,74,54,18,52,40,53,52,56,28,23,40,55,53,53,58,33,20,39,38
AR ,Cross County,81,63,60,62,94,39,19,52,46,59,74,68,28,42,58,51,55,52,73,40,29,54,51
AR ,Dallas County,71,44,17,38,72,30,8,56,49,34,95,43,16,10,19,41,36,20,31,13,11,17,19
AR ,Desha County,63,58,32,49,67,50,10,35,37,48,64,67,49,58,40,36,61,63,64,32,36,49,37
AR ,Drew County,93,78,83,74,71,47,24,58,52,66,70,71,32,37,50,55,76,81,71,38,41,75,51
AR ,Faulkner County,74,71,58,57,83,50,17,54,48,57,61,65,25,31,43,50,49,52,53,29,26,47,49
AR ,Franklin County,57,47,42,56,67,45,15,30,36,47,54,50,30,37,43,38,43,41,38,21,13,30,33
AR ,Garland County,80,72,67,71,75,45,14,59,53,66,67,67,29,45,53,58,63,64,59,25,21,61,57
AR ,Grant County,57,67,44,45,65,32,8,41,31,37,45,84,17,12,19,34,43,36,38,10,12,26,19
AR ,Greene County,80,69,66,62,72,46,18,56,46,56,58,67,39,38,55,57,61,63,63,45,30,57,57
AR ,Hempstead County,84,87,70,61,80,68,18,52,49,54,76,50,24,35,28,64,58,66,96,25,27,40,67
AR ,Hot Spring County,69,65,59,62,75,44,14,52,50,59,55,60,26,29,44,42,63,60,54,26,24,45,47
AR ,Howard County,66,63,56,68,66,30,12,52,58,60,67,66,22,33,44,48,50,50,53,17,17,46,44
AR ,Independence County,86,62,68,63,75,55,14,57,48,70,72,68,39,45,63,55,67,65,60,45,40,59,61
AR ,Izard County,62,63,47,33,59,29,21,42,33,39,63,38,24,49,67,25,33,39,35,12,41,49,46
AR ,Jackson County,71,83,74,73,75,47,18,46,53,40,85,53,33,52,65,61,61,57,54,60,25,60,54
AR ,Jefferson County,79,67,59,73,72,35,6,56,50,63,65,68,33,28,43,44,58,66,49,24,22,49,48
AR ,Johnson County,76,68,71,58,88,50,18,49,57,64,65,65,32,67,46,55,63,63,69,29,21,43,53
AR ,Lafayette County,99,84,58,NA,93,NA,25,33,82,59,68,86,32,24,39,46,69,44,80,22,15,78,60
AR ,Lawrence County,69,73,35,46,46,24,8,45,17,45,70,45,13,17,44,22,42,56,25,19,16,47,33
AR ,Lee County,30,38,62,29,NA,NA,NA,NA,16,NA,NA,42,29,33,9,9,10,26,15,NA,NA,15,NA
AR ,Lincoln County,81,79,60,79,98,41,15,53,39,73,59,80,39,41,45,52,80,63,71,34,33,64,47
AR ,Little River County,67,68,40,57,62,57,18,38,57,54,43,54,22,23,38,35,38,60,45,21,16,46,42
AR ,Logan County,51,55,63,43,57,47,11,46,49,55,50,50,14,31,30,30,46,33,38,21,15,29,42
AR ,Lonoke County,67,60,58,56,69,40,15,50,47,52,49,47,24,23,38,46,48,48,48,26,21,42,41
AR ,Madison County,60,34,38,32,54,33,5,42,24,55,55,52,21,26,25,27,37,33,48,14,6,36,28
AR ,Marion County,59,74,63,60,43,15,1,51,40,39,57,71,18,25,31,28,51,42,36,24,10,36,38
AR ,Miller County,87,75,79,82,81,67,38,72,77,81,81,74,21,32,43,54,63,59,53,23,24,49,60
AR ,Mississippi County,72,65,65,69,87,42,18,55,49,59,75,73,26,31,59,56,66,66,52,35,31,54,58
AR ,Monroe County,88,77,84,96,85,70,16,71,79,105,82,75,56,39,55,66,95,75,47,32,31,58,62
AR ,Montgomery County,98,122,81,78,75,29,32,34,54,42,52,60,32,118,80,56,74,58,61,16,63,84,53
AR ,Nevada County,81,78,88,112,145,95,55,59,89,89,102,93,86,68,46,93,101,92,79,41,41,57,77
AR ,Ouachita County,64,69,66,64,62,35,7,44,51,65,53,58,26,31,40,55,62,54,56,23,16,48,45
AR ,Perry County,74,69,63,69,71,41,2,49,35,42,50,60,7,55,28,41,51,48,27,11,13,52,46
AR ,Phillips County,81,62,75,62,72,18,2,50,38,59,77,66,38,26,45,32,39,50,53,34,25,40,52
AR ,Pike County,57,59,41,57,48,30,18,41,43,40,47,59,22,30,39,38,46,49,38,18,18,34,45
AR ,Poinsett County,71,83,69,75,77,25,5,38,39,34,58,51,17,21,47,53,60,49,59,29,15,57,49
AR ,Polk County,92,62,67,55,56,41,35,49,41,56,50,57,17,37,43,53,48,49,39,1,1,59,48
AR ,Pope County,91,86,84,76,93,72,34,69,70,85,87,85,42,63,65,76,79,73,73,52,36,67,66
AR ,Prairie County,96,94,96,144,109,125,34,93,106,122,103,97,70,46,58,94,107,96,88,54,54,81,85
AR ,Pulaski County,67,61,55,57,68,42,9,43,39,49,53,52,19,20,29,37,43,47,46,21,14,37,37
AR ,Randolph County,73,76,101,72,107,59,42,72,47,55,63,69,48,64,71,75,78,72,76,53,34,71,73
AR ,Saint Francis County,64,54,57,69,74,44,29,56,46,65,56,62,38,40,54,64,76,44,56,38,32,55,56
AR ,Saline County,71,72,63,63,76,40,13,54,48,59,63,62,23,25,44,47,56,54,50,22,20,48,46
AR ,Scott County,45,53,34,27,47,NA,NA,32,34,70,42,33,5,18,19,28,23,31,70,16,NA,NA,34
AR ,Searcy County,47,57,40,50,35,NA,2,18,15,17,51,44,13,42,13,30,37,47,19,1,27,26,13
AR ,Sebastian County,84,77,73,68,76,47,15,52,49,62,54,58,34,27,40,54,52,55,54,32,17,52,55
AR ,Sevier County,68,74,63,69,90,39,14,57,42,74,75,68,36,39,44,40,61,59,56,28,18,66,58
AR ,Sharp County,94,73,63,65,66,31,21,41,35,62,54,75,31,26,48,53,53,53,61,17,34,64,54
AR ,Stone County,73,59,81,60,70,47,25,55,45,64,60,71,21,49,40,34,61,67,44,21,22,55,51
AR ,Union County,75,76,69,74,73,59,17,50,51,64,62,73,32,29,48,55,58,57,64,30,32,54,47
AR ,Van Buren County,74,43,42,61,60,16,5,44,30,36,39,43,19,44,41,30,32,35,34,14,29,41,39
AR ,Washington County,77,73,67,60,73,54,19,55,56,64,68,66,39,34,46,50,53,58,52,26,11,47,53
AR ,White County,84,81,69,70,90,62,24,62,52,66,81,73,36,41,57,61,70,68,69,43,31,60,56
AR ,Woodruff County,95,118,80,91,107,56,15,91,87,93,90,99,77,59,89,88,89,91,85,50,37,100,67
AR ,Yell County,80,78,75,65,80,58,27,64,63,74,66,69,32,53,63,67,63,72,65,40,19,59,59
CA ,Alameda County,59,7,10,5,18,0,0,1,0,3,1,4,0,0,0,1,1,1,4,0,0,0,1
CA ,Amador County,45,38,47,32,53,11,1,14,16,9,17,15,0,1,17,16,17,30,31,3,0,4,22
CA ,Butte County,96,74,80,64,64,29,16,45,33,52,41,59,15,0,29,40,50,47,52,5,0,37,41
CA ,Calaveras County,58,55,45,39,57,17,15,43,28,10,24,55,4,2,18,16,18,14,19,3,0,19,22
CA ,Colusa County,99,69,23,84,87,10,14,22,37,32,29,94,8,1,23,25,30,34,71,20,6,13,22
CA ,Contra Costa County,59,13,15,11,23,5,3,6,2,8,6,14,0,0,6,7,6,8,15,0,0,0,5
CA ,Del Norte County,91,72,105,92,100,27,5,55,41,84,35,68,22,2,15,27,56,64,49,2,1,30,49
CA ,El Dorado County,54,53,47,45,41,23,9,20,16,22,23,34,5,4,16,23,22,25,27,3,0,11,17
CA ,Fresno County,73,69,70,35,51,11,8,26,26,30,27,42,9,1,20,24,26,29,36,10,0,16,24
CA ,Glenn County,82,65,44,47,59,24,10,38,15,26,23,29,12,5,31,43,27,34,28,6,1,10,27
CA ,Humboldt County,93,67,67,60,29,1,1,17,11,5,15,20,1,1,3,2,9,7,14,0,0,2,3
CA ,Imperial County,98,76,54,38,56,24,6,37,38,30,28,51,14,15,20,17,11,24,26,2,1,12,15
CA ,Inyo County,94,101,89,97,96,74,57,61,74,79,67,94,51,35,74,78,60,78,67,32,12,52,65
CA ,Kern County,81,75,62,48,48,14,4,24,26,30,32,41,10,1,23,24,25,26,35,10,0,9,18
CA ,Kings County,70,65,68,59,59,19,16,46,41,42,32,54,26,8,32,41,36,45,50,26,1,25,43
CA ,Lake County,64,43,33,9,19,1,1,3,1,13,1,11,1,1,2,10,1,14,21,1,1,7,1
CA ,Lassen County,76,71,97,128,83,31,15,71,51,35,47,67,23,8,45,50,50,71,50,2,0,42,43
CA ,Los Angeles County,58,44,42,25,32,6,0,8,6,9,7,15,1,0,3,4,5,5,11,1,0,0,0
CA ,Madera County,68,64,62,52,55,7,2,31,28,28,29,52,8,0,29,25,33,33,42,6,0,22,23
CA ,Marin County,56,18,13,16,25,15,9,6,4,11,13,16,2,1,7,8,6,11,12,0,0,1,8
CA ,Mariposa County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA ,Mendocino County,103,69,59,52,53,3,5,28,29,27,36,49,2,1,31,17,21,42,51,1,1,32,34
CA ,Merced County,93,81,81,67,76,15,9,44,35,40,45,62,14,5,35,39,43,46,49,17,0,27,37
CA ,Mono County,60,67,72,58,NA,NA,NA,NA,NA,NA,2,34,NA,1,28,NA,1,19,24,4,1,NA,NA
CA ,Monterey County,73,61,34,24,35,4,1,11,14,16,13,23,1,0,13,11,16,20,22,4,0,11,15
CA ,Napa County,77,57,47,48,45,6,6,27,7,25,28,32,1,0,14,20,26,29,31,0,0,10,26
CA ,Nevada County,43,62,44,47,45,16,16,19,17,24,23,26,7,3,11,24,26,30,42,4,0,21,19
CA ,Orange County,67,57,42,29,39,21,8,18,15,18,16,23,10,2,11,13,15,14,22,11,0,2,4
CA ,Placer County,66,62,51,48,47,30,14,26,18,27,28,37,12,5,21,25,27,29,35,6,0,18,24
CA ,Plumas County,2,4,NA,NA,NA,NA,3,3,2,3,5,11,1,1,2,2,2,2,5,1,1,3,2
CA ,Riverside County,74,61,50,39,44,15,4,20,22,23,23,32,7,0,17,19,19,20,25,7,0,2,4
CA ,Sacramento County,70,55,47,39,30,6,2,16,8,14,15,24,0,0,8,12,14,16,24,0,0,6,12
CA ,San Benito County,45,20,18,21,23,11,0,13,13,12,16,19,2,0,13,13,13,12,18,2,0,9,14
CA ,San Bernardino County,75,61,55,41,46,13,4,21,23,25,23,33,8,0,17,21,22,22,29,7,0,3,8
CA ,San Diego County,66,50,34,26,28,10,5,10,10,10,8,16,4,0,6,6,8,9,14,2,0,0,0
CA ,San Francisco County,48,2,2,1,3,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
CA ,San Joaquin County,70,55,52,43,45,10,3,29,21,26,27,38,1,0,19,21,24,23,31,1,0,15,20
CA ,San Luis Obispo County,62,60,68,54,43,20,9,25,26,30,27,38,18,6,22,32,28,33,34,22,0,19,26
CA ,San Mateo County,57,9,12,7,23,5,2,3,1,5,4,6,0,0,1,1,2,3,6,0,0,0,2
CA ,Santa Barbara County,57,56,63,46,46,16,5,28,23,30,28,36,12,4,19,32,25,28,36,18,0,19,23
CA ,Santa Clara County,50,3,7,2,13,0,0,1,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0
CA ,Santa Cruz County,60,23,28,24,35,1,1,16,2,9,8,22,0,0,10,12,11,17,19,0,0,1,3
CA ,Shasta County,93,68,74,74,72,38,23,54,39,50,50,56,13,2,33,39,45,44,55,4,0,39,38
CA ,Siskiyou County,86,47,71,51,35,44,15,19,13,24,30,54,9,9,15,32,36,36,40,1,2,21,44
CA ,Solano County,69,46,43,29,43,16,5,22,17,29,23,31,2,0,18,18,23,28,27,2,0,14,20
CA ,Sonoma County,73,53,24,24,35,13,8,21,9,18,16,28,1,0,11,14,17,16,23,0,0,11,15
CA ,Stanislaus County,80,67,68,56,62,16,9,32,31,29,34,44,10,3,28,33,31,32,40,10,0,23,29
CA ,Sutter County,89,70,66,66,64,32,12,50,36,51,43,57,20,4,30,47,48,45,47,4,0,47,48
CA ,Tehama County,71,64,69,77,73,47,36,52,33,41,51,52,17,12,30,45,48,48,54,13,1,33,45
CA ,Tulare County,78,72,73,52,62,24,13,42,34,43,42,56,23,3,38,39,42,42,47,25,1,25,32
CA ,Tuolumne County,32,47,67,56,56,19,5,21,14,41,30,40,2,8,22,42,34,31,43,6,0,16,30
CA ,Ventura County,57,50,50,38,35,19,5,18,16,20,18,25,10,3,13,14,14,16,22,9,0,7,6
CA ,Yolo County,71,58,47,29,43,14,6,19,13,21,19,26,1,2,14,16,17,19,21,1,0,8,14
CA ,Yuba County,77,67,59,55,50,12,4,25,10,35,29,42,1,0,15,18,19,24,41,0,0,22,13
CO,Adams County,60,43,42,2,19,2,0,24,14,18,2,0,0,0,1,6,5,0,4,0,0,5,5
CO,Alamosa County,107,107,84,76,82,37,34,89,75,71,40,62,3,2,41,57,42,42,56,12,2,41,45
CO,Arapahoe County,60,36,35,0,11,0,2,14,10,7,0,0,0,0,0,2,1,0,0,0,0,1,2
CO,Archuleta County,135,123,124,29,76,15,8,53,40,13,13,6,13,0,1,18,19,25,42,1,2,10,39
CO,Boulder County,51,35,37,0,10,1,3,13,13,12,1,0,0,0,0,3,2,0,1,1,0,1,3
CO,Broomfield County,57,28,33,0,9,1,2,13,12,12,0,0,0,0,0,2,3,0,0,5,0,0,0
CO,Chaffee County,124,78,83,24,48,18,11,41,34,38,34,17,3,11,16,38,36,25,12,3,6,37,21
CO,Clear Creek County,61,17,32,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CO,Delta County,51,61,7,3,26,3,1,3,25,27,2,1,1,1,3,10,2,1,12,2,1,43,10
CO,Denver County,59,26,25,1,1,1,1,2,3,1,0,0,0,0,0,1,1,0,1,1,0,0,0
CO,Douglas County,55,37,36,0,23,12,7,18,12,20,3,0,0,0,1,7,4,0,2,5,2,5,5
CO,Eagle County,108,45,36,14,18,2,1,11,21,14,5,0,0,0,3,13,6,1,14,2,0,13,14
CO,El Paso County,73,46,53,3,27,6,2,22,20,24,0,1,0,0,1,6,2,0,0,0,0,4,4
CO,Elbert County,67,40,58,0,10,3,0,14,10,19,1,1,0,0,1,2,1,0,4,1,0,3,3
CO,Fremont County,87,64,67,43,50,26,23,46,51,50,8,22,1,2,26,33,31,31,20,5,1,17,31
CO,Garfield County,55,31,39,21,21,6,3,16,19,20,11,8,1,0,7,12,10,9,12,3,0,12,11
CO,Gilpin County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO,Grand County,87,63,78,9,28,14,7,24,19,9,8,9,2,4,10,11,10,9,6,3,6,12,8
CO,Gunnison County,234,91,50,3,9,NA,1,2,2,2,2,2,1,1,1,14,16,1,2,1,1,14,7
CO,Jefferson County,59,40,34,0,12,2,2,15,14,11,0,0,0,0,0,3,3,0,0,0,0,3,4
CO,Kit Carson County,90,88,74,48,46,87,12,16,88,101,88,95,5,50,13,49,83,44,86,11,11,44,58
CO,La Plata County,115,91,78,13,58,2,6,35,29,11,3,1,1,0,3,8,12,7,17,7,1,15,15
CO,Larimer County,80,61,62,9,26,4,2,25,26,33,2,1,0,0,2,11,11,0,4,2,0,6,11
CO,Las Animas County,136,94,135,100,80,28,34,71,70,61,65,55,23,24,41,82,52,44,41,8,5,49,31
CO,Lincoln County,166,182,119,67,171,212,31,178,215,190,88,178,3,11,72,114,127,203,184,83,27,130,64
CO,Logan County,78,87,80,51,66,58,42,73,78,73,49,51,8,32,56,73,76,54,68,50,21,69,68
CO,Mesa County,88,72,60,54,55,30,17,40,50,54,18,13,6,1,16,31,29,15,36,10,4,21,31
CO,Moffat County,88,73,101,80,75,30,3,71,56,70,41,53,31,33,56,55,62,60,63,61,29,62,80
CO,Montezuma County,116,52,56,49,59,42,13,41,29,48,31,31,19,0,18,30,21,31,36,20,1,37,26
CO,Montrose County,70,70,60,59,56,15,14,42,37,44,15,17,1,1,23,27,21,13,53,6,1,36,33
