stname,countyname,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20
LA ,East Baton Rouge Parish,85,69,58,61,67,31,16,38,16,25,24,30,17,5,18,18,25,26,35,15,6,24,23
LA ,East Carroll Parish,NA,79,96,105,NA,NA,7,52,16,NA,NA,55,18,11,9,9,10,10,12,NA,6,36,26
LA ,East Feliciana Parish,76,63,57,59,67,19,24,32,21,44,37,30,33,8,35,37,37,35,38,30,5,27,46
LA ,Evangeline Parish,88,72,60,84,71,27,32,55,35,49,56,62,31,24,45,43,51,38,52,44,20,57,39
LA ,Franklin Parish,93,74,66,77,62,43,24,54,44,44,62,50,39,24,44,39,53,42,55,23,32,48,38
LA ,Grant Parish,92,87,97,78,80,44,15,79,34,51,31,80,27,14,31,34,37,45,55,12,17,61,35
LA ,Iberia Parish,81,64,65,64,71,40,27,54,37,46,42,54,36,24,37,39,44,48,55,32,19,46,42
LA ,Iberville Parish,91,75,70,71,74,41,23,51,25,37,38,36,21,16,27,38,32,35,41,30,23,42,29
LA ,Jackson Parish,96,77,67,65,45,43,19,40,37,52,43,50,26,33,40,44,35,31,58,13,21,47,35
LA ,Jefferson Davis Parish,87,69,61,62,64,35,31,38,29,43,39,49,26,16,26,32,21,39,30,25,17,31,30
LA ,Jefferson Parish,70,57,47,48,54,21,12,26,17,20,21,24,11,3,13,16,20,19,27,11,5,14,16
LA ,La Salle Parish,87,70,63,59,70,43,20,47,36,38,38,44,23,17,38,30,47,44,49,25,17,40,40
LA ,Lafayette Parish,84,72,69,68,74,45,28,52,35,38,47,51,29,15,37,41,40,41,50,29,16,40,42
LA ,Lafourche Parish,80,69,61,54,81,38,28,44,36,41,42,43,26,20,41,37,35,39,43,25,17,38,38
LA ,Lincoln Parish,75,69,61,66,66,51,32,49,35,43,50,57,32,28,38,43,49,43,60,31,36,39,43
LA ,Livingston Parish,87,75,66,66,69,37,21,46,32,39,37,44,26,16,33,34,40,39,48,24,15,36,37
LA ,Madison Parish,81,62,40,60,73,69,13,25,35,37,38,56,53,15,17,37,43,36,48,11,11,13,28
LA ,Morehouse Parish,71,58,37,49,44,20,14,30,28,27,24,29,17,15,25,23,33,29,27,15,14,25,24
LA ,Natchitoches Parish,102,100,104,96,92,67,46,78,63,66,64,78,43,41,54,51,57,55,67,23,17,53,46
LA ,Orleans Parish,89,56,40,27,28,1,1,1,1,2,4,7,1,0,1,1,2,3,7,1,0,0,1
LA ,Ouachita Parish,90,82,77,74,73,51,25,60,43,54,52,59,36,22,39,44,47,50,58,19,22,49,48
LA ,Plaquemines Parish,74,60,49,51,58,30,36,40,27,33,31,35,22,28,24,28,30,28,41,38,25,30,29
LA ,Pointe Coupee Parish,87,73,65,63,58,27,26,47,33,40,39,36,22,18,34,31,36,32,39,27,17,40,37
LA ,Rapides Parish,92,77,75,76,74,42,20,53,41,46,43,51,33,21,41,44,52,46,54,28,22,46,46
LA ,Red River Parish,76,61,67,71,72,70,26,63,52,53,59,76,26,25,49,38,62,65,76,17,10,40,67
LA ,Richland Parish,90,77,79,87,82,43,18,47,44,47,41,45,32,22,43,39,41,43,54,30,20,43,43
LA ,Sabine Parish,95,74,66,58,68,42,27,60,39,51,40,54,30,42,40,30,44,55,45,27,14,51,36
LA ,Saint Bernard Parish,60,37,31,29,30,4,2,10,3,8,6,9,1,0,1,5,5,5,13,3,0,3,4
LA ,Saint Charles Parish,73,63,50,48,68,24,12,31,20,21,22,33,11,4,19,24,17,26,29,10,5,21,23
LA ,Saint Helena Parish,78,76,56,75,45,NA,13,35,44,23,9,60,19,4,27,25,27,43,24,25,5,57,20
LA ,Saint James Parish,80,59,69,48,69,25,19,38,21,19,33,31,16,8,21,16,24,22,34,17,13,38,26
LA ,Saint John the Baptist Parish,50,39,39,41,32,15,7,15,12,16,18,13,5,1,8,9,12,7,12,0,0,6,8
LA ,Saint Landry Parish,79,63,56,56,68,33,18,42,25,36,33,39,24,15,28,29,36,36,41,24,17,32,30
LA ,Saint Martin Parish,91,75,72,66,71,43,24,64,40,54,48,58,28,21,35,39,41,47,53,26,20,42,47
LA ,Saint Mary Parish,88,64,58,61,70,32,25,48,30,34,35,44,28,15,34,33,35,31,41,21,9,32,31
